timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674927285776,7379,Home Page,200,OK,Othoba.com 1-58,text,true,,141171,232,200,200,https://www.othoba.com/,187,0,101
1674927285776,193,Home Page-0,301,Moved Permanently,Othoba.com 1-58,text,true,,788,116,200,200,http://www.othoba.com/,187,0,101
1674927285975,7180,Home Page-1,200,OK,Othoba.com 1-58,text,true,,140383,116,200,200,https://www.othoba.com/,1690,0,983
1674927285828,7511,Home Page,200,OK,Othoba.com 1-69,text,true,,141171,232,200,200,https://www.othoba.com/,174,0,74
1674927285828,174,Home Page-0,301,Moved Permanently,Othoba.com 1-69,text,true,,788,116,200,200,http://www.othoba.com/,174,0,74
1674927286007,7332,Home Page-1,200,OK,Othoba.com 1-69,text,true,,140383,116,200,200,https://www.othoba.com/,2403,0,1070
1674927286209,8049,Home Page,200,OK,Othoba.com 1-146,text,true,,141163,232,200,200,https://www.othoba.com/,169,0,90
1674927286209,169,Home Page-0,301,Moved Permanently,Othoba.com 1-146,text,true,,788,116,200,200,http://www.othoba.com/,169,0,90
1674927286378,7880,Home Page-1,200,OK,Othoba.com 1-146,text,true,,140375,116,200,200,https://www.othoba.com/,1712,0,688
1674927286443,8412,Home Page,200,OK,Othoba.com 1-191,text,true,,141163,232,200,200,https://www.othoba.com/,141,0,71
1674927286443,141,Home Page-0,301,Moved Permanently,Othoba.com 1-191,text,true,,788,116,200,200,http://www.othoba.com/,141,0,71
1674927286584,8271,Home Page-1,200,OK,Othoba.com 1-191,text,true,,140375,116,200,200,https://www.othoba.com/,1631,0,324
1674927285725,9157,Home Page,200,OK,Othoba.com 1-22,text,true,,141163,232,200,200,https://www.othoba.com/,271,0,166
1674927285725,271,Home Page-0,301,Moved Permanently,Othoba.com 1-22,text,true,,788,116,200,200,http://www.othoba.com/,271,0,166
1674927285997,8885,Home Page-1,200,OK,Othoba.com 1-22,text,true,,140375,116,200,200,https://www.othoba.com/,2147,0,1345
1674927286143,8747,Home Page,200,OK,Othoba.com 1-132,text,true,,141171,232,200,200,https://www.othoba.com/,174,0,86
1674927286143,174,Home Page-0,301,Moved Permanently,Othoba.com 1-132,text,true,,788,116,200,200,http://www.othoba.com/,174,0,86
1674927286318,8572,Home Page-1,200,OK,Othoba.com 1-132,text,true,,140383,116,200,200,https://www.othoba.com/,2569,0,1557
